"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDUSTRY","INDICATOR","GAS_TYPE","S_ADJUSTMENT","FREQUENCY","SCALE","DECIMALS_DISPLAYED","AEA","UNIT","OVERLAP","COUNTRY_COVERAGE","TIME_COVERAGE","DOI","FULL_DESCRIPTION","AUTHOR","PUBLISHER","DEPARTMENT","CONTACT_POINT","TOPIC","TOPIC_DATASET","KEYWORDS","KEYWORDS_DATASET","LANGUAGE","PUBLICATION_DATE","UPDATE_DATE","METHODOLOGY","METHODOLOGY_NOTES","ACCESS_SHARING_LEVEL","ACCESS_SHARING_NOTES","SECURITY_CLASSIFICATION","SHORT_SOURCE_CITATION","FULL_SOURCE_CITATION","LICENSE","SUGGESTED_CITATION","KEY_INDICATOR","SERIES_NAME","2010","2010-Q1","2010-Q2","2010-Q3","2010-Q4","2011","2011-Q1","2011-Q2","2011-Q3","2011-Q4","2012","2012-Q1","2012-Q2","2012-Q3","2012-Q4","2013","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016","2016-Q1","2016-Q2","2016-Q3","2016-Q4","2017","2017-Q1","2017-Q2","2017-Q3","2017-Q4","2018","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021","2021-Q1","2021-Q2","2021-Q3","2021-Q4","2022","2022-Q1","2022-Q2","2022-Q3","2022-Q4","2023","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024","2024-Q1","2024-Q2","2024-Q3","2024-Q4","2025-Q1"
"IMF.STA:AEA(7.0.0)","G110.C.GHG_MTCO2.CH4.SA.A","OBS_VALUE","Advanced Economies","Manufacturing","Air emissions, Metric ton of CO₂","Methane","Seasonally adjusted (SA)","Annual","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","14.86143089","","","","","14.8602581","","","","","14.59062604","","","","","14.936065","","","","","14.81483794","","","","","15.07014621","","","","","15.17916596","","","","","15.57241905","","","","","15.33447586","","","","","15.48431022","","","","","15.02089254","","","","","15.30063705","","","","","14.75491569","","","","","14.81310535","","","","","","","","","",""
"IMF.STA:AEA(7.0.0)","G110.B.GHG_MTCO2.CO2.NSA.Q","OBS_VALUE","Advanced Economies","Mining and quarrying","Air emissions, Metric ton of CO₂","Carbon dioxide","Not seasonally adjusted (NSA)","Quarterly","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","","81.17851633","81.8571956","83.48377334","86.2552095","","83.61622974","80.40263645","81.81574387","85.55079591","","85.04385686","81.4601722","83.09181633","87.08934217","","88.01011827","85.67863392","87.54596615","87.97369865","","85.96700635","83.04379811","85.61893523","90.3066526","","90.31071884","86.62610274","91.14538851","91.3145599","","87.23990095","81.1084853","84.73792525","87.89908356","","87.53659369","86.44722502","91.60372399","95.57050137","","101.4588779","103.052326","109.9015153","113.2385588","","110.2904826","110.1038984","112.1330683","112.9095202","","110.6424699","93.57871574","96.41906467","100.2098361","","99.64511151","97.54378009","100.7412639","102.0565077","","97.94863736","96.75025381","99.0522547","100.1992049","","98.96510587","96.09294108","99.38862737","101.5698051","","99.50056603","97.57509617","100.8275385","102.409764","100.8637853"
"IMF.STA:AEA(7.0.0)","G110.HH_TOTAL.GHG_MTCO2.GHG.SA.Q","OBS_VALUE","Advanced Economies","Total Households","Air emissions, Metric ton of CO₂","Greenhouse gas","Seasonally adjusted (SA)","Quarterly","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","","634.2257722","647.072646","652.5260355","654.6452904","","633.5184678","603.9386607","601.8912718","591.8886801","","589.7605627","575.6698048","562.829053","564.5295212","","584.574334","594.5080757","572.9935636","585.468645","","568.9711905","577.6162177","579.0179407","580.588465","","578.5493258","576.3832702","587.9198416","566.4860914","","586.2794634","578.3337973","562.3695921","579.7182415","","563.037069","565.3660789","586.9513164","587.7575364","","620.1872968","600.9250006","611.9938131","623.0778866","","616.4924066","623.1994584","598.0607347","605.0927169","","587.1422732","482.6420893","561.4705358","555.9291175","","560.095633","594.3416789","569.501515","589.6264883","","583.5455599","575.7064732","583.2662537","574.248528","","582.1509545","582.1088476","555.4983239","571.1063835","","565.5966545","561.9455275","575.4765113","563.3535494","568.3515544"
"IMF.STA:AEA(7.0.0)","G110.B.GHG_MTCO2.CO2.SA.Q","OBS_VALUE","Advanced Economies","Mining and quarrying","Air emissions, Metric ton of CO₂","Carbon dioxide","Seasonally adjusted (SA)","Quarterly","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","","80.59131177","83.87501661","84.26433435","84.04403204","","82.93040056","82.51923491","82.51449868","83.42127181","","84.20521845","83.81960039","83.68835761","84.97201112","","87.28146694","88.13768066","87.94204464","85.84722475","","85.15604812","85.71476488","85.82851406","88.23706523","","89.56588159","89.38671717","91.18353961","89.26063162","","86.52743557","83.72205294","84.72546005","86.0104465","","86.73053316","89.54373002","91.19762256","93.68615833","","101.0134262","105.9418852","109.4470143","111.2489522","","110.1095121","112.7606511","111.7194092","110.8473972","","110.4018866","96.15141175","96.12151005","98.17527795","","99.4247517","100.1120398","100.4778286","99.97204309","","97.83919062","99.2118561","98.77690715","98.12239691","","98.83187659","98.54941724","99.08548894","99.54969662","","99.45599788","99.91500161","100.4198235","100.4208336","101.1967579"
"IMF.STA:AEA(7.0.0)","G110.F.GHG_MTCO2.N2O.SA.A","OBS_VALUE","Advanced Economies","Construction","Air emissions, Metric ton of CO₂","Nitrous oxide","Seasonally adjusted (SA)","Annual","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","2.523681254","","","","","2.622687861","","","","","2.660062867","","","","","2.647908645","","","","","2.948153874","","","","","2.67461621","","","","","2.68961034","","","","","2.716978052","","","","","2.737570213","","","","","3.052053774","","","","","2.716925426","","","","","2.780461913","","","","","2.788608543","","","","","2.721770532","","","","","","","","","",""
"IMF.STA:AEA(7.0.0)","G110.H.GHG_MTCO2.GHG.SA.A","OBS_VALUE","Advanced Economies","Transportation and Storage","Air emissions, Metric ton of CO₂","Greenhouse gas","Seasonally adjusted (SA)","Annual","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","1743.039303","","","","","1744.156343","","","","","1727.611511","","","","","1711.881117","","","","","1717.054984","","","","","1756.883917","","","","","1779.391986","","","","","1818.94158","","","","","1893.48017","","","","","1903.265379","","","","","1567.0494","","","","","1693.59532","","","","","1814.12482","","","","","1846.90559","","","","","","","","","",""
"IMF.STA:AEA(7.0.0)","G110.C.GHG_MTCO2.F_GAS.SA.A","OBS_VALUE","Advanced Economies","Manufacturing","Air emissions, Metric ton of CO₂","Fluorinated gases","Seasonally adjusted (SA)","Annual","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","80.864495","","","","","80.2919496","","","","","80.41192624","","","","","83.48643905","","","","","84.73617847","","","","","79.0008693","","","","","78.48520832","","","","","77.46855458","","","","","82.43132146","","","","","82.40338845","","","","","81.44676959","","","","","81.79900065","","","","","82.93227874","","","","","83.29636988","","","","","","","","","",""
"IMF.STA:AEA(7.0.0)","G110.HH_TOTAL.GHG_MTCO2.GHG.NSA.Q","OBS_VALUE","Advanced Economies","Total Households","Air emissions, Metric ton of CO₂","Greenhouse gas","Not seasonally adjusted (NSA)","Quarterly","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","","711.8258853","603.5020717","573.6246483","699.5171389","","704.560802","560.8006283","536.0875855","629.7880646","","661.9092243","530.8540002","494.7269965","605.2987207","","653.4885231","546.0882066","514.9339877","623.0339009","","629.3155626","537.7342712","519.0143857","620.1295945","","647.0132087","539.3886798","518.7918297","604.1448108","","644.5935976","534.0072127","510.2584111","617.8418729","","625.5692926","530.3017775","517.4349408","629.8059898","","682.1889067","562.472327","553.7182505","657.8045129","","671.5658104","578.9426015","547.9717489","644.3651558","","643.7874327","448.2348354","499.7554293","595.4063184","","614.288023","551.0481642","519.5675771","628.6615509","","639.8607765","543.6502999","523.5692904","609.686448","","630.9007433","543.8229489","513.5884703","602.5523471","","613.2083582","530.3310922","520.3959542","602.1826661","622.3612556"
"IMF.STA:AEA(7.0.0)","G110.B.GHG_MTCO2.N2O.SA.A","OBS_VALUE","Advanced Economies","Mining and quarrying","Air emissions, Metric ton of CO₂","Nitrous oxide","Seasonally adjusted (SA)","Annual","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","2.262009086","","","","","2.302520268","","","","","2.351444274","","","","","2.367633939","","","","","2.394620239","","","","","2.434460854","","","","","2.408829995","","","","","2.472397098","","","","","2.552647421","","","","","2.58616914","","","","","2.500499843","","","","","2.511851577","","","","","2.399830623","","","","","2.347791121","","","","","","","","","",""
"IMF.STA:AEA(7.0.0)","G110.F.GHG_MTCO2.CO2.SA.Q","OBS_VALUE","Advanced Economies","Construction","Air emissions, Metric ton of CO₂","Carbon dioxide","Seasonally adjusted (SA)","Quarterly","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","","39.82714528","45.74374073","54.06316372","67.7527837","","52.45614891","49.82342733","48.18178112","47.77349254","","48.10936505","52.35541601","51.11637158","51.10088488","","50.66046735","52.1410725","51.18584174","50.2685312","","53.57869283","46.3166089","44.31725945","45.47927609","","47.25906745","43.27196939","47.07291245","48.75019473","","47.31276875","47.09936901","47.43591689","44.35728154","","44.58905108","48.38622626","48.32719904","53.69350629","","72.79126491","75.20958019","76.68265888","78.9181576","","79.94813042","75.46436364","70.49590275","73.88780027","","64.23721987","66.68720502","73.71892779","72.16933979","","72.30167085","74.02179362","71.25017217","74.23732842","","75.94540144","75.02185217","74.99103457","70.32712959","","70.37805192","72.83642864","70.82307459","77.20087063","","78.92905753","76.42686051","81.5335033","70.76344494","76.23519343"
"IMF.STA:AEA(7.0.0)","G110.IND_HH.GHG_MTCO2.CH4.SA.A","OBS_VALUE","Advanced Economies","Total Industries + Total Households","Air emissions, Metric ton of CO₂","Methane","Seasonally adjusted (SA)","Annual","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","1717.849588","","","","","1684.540581","","","","","1621.830048","","","","","1617.845286","","","","","1604.124361","","","","","1598.080614","","","","","1559.713509","","","","","1574.998692","","","","","1423.962431","","","","","1393.436239","","","","","1361.2237","","","","","1349.018694","","","","","1327.508132","","","","","1342.983929","","","","","","","","","",""
"IMF.STA:AEA(7.0.0)","G110.A.GHG_MTCO2.CO2.NSA.Q","OBS_VALUE","Advanced Economies","Agriculture, Forestry and Fishing","Air emissions, Metric ton of CO₂","Carbon dioxide","Not seasonally adjusted (NSA)","Quarterly","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","","39.79862228","44.39168951","46.41442455","42.65611632","","38.41700039","42.78087325","46.12776722","42.89477068","","40.15236837","45.47849678","47.81994209","44.08400004","","41.38985656","43.65911775","46.25464894","44.02220116","","41.13926525","42.99924213","45.75067435","43.67878131","","40.86570566","44.44009929","47.35881825","44.4267756","","41.7733399","44.42629245","48.027544","42.44827445","","37.74141222","40.83641897","48.06087678","51.74715323","","58.48003778","65.67664548","73.36338425","70.21136173","","65.35631329","65.58414107","68.30124247","65.70857203","","61.40358493","63.35821971","68.05629598","66.52160195","","64.34769739","64.98164451","67.59124728","67.96504636","","64.5805487","66.5275458","68.15349102","64.68870858","","61.31918495","65.86707368","68.26256719","66.03928518","","62.45218386","73.59747989","75.16225795","71.92503518","70.26385296"
